做饭 zuò fàn | to cook
吃饭 chī fàn | to eat/have a meal
看电视 kàn diànshì | to watch television
跑步 pǎobù | to run, to jog
踢(足球) tī (zúqiú) | to play (football)
足球 zúqiú | football
看电影 kàn diànyǐng | see a film
运动 yùndòng | to exercise; sport
用电脑 yòng diànnǎo | to use the computer
上网 shàng wǎng | surf the net
比赛 bǐsài | to compete; competition
打乒乓球 dǎ pīngpāngqiú | to play ping pong
打网球 dǎ wǎngqiú | to play tennis
游泳 yóuyǒng | to swim
打篮球 dǎ lánqiú | to play basketball
骑马 qí mǎ | to ride a horse
大 dà | big
好喝 hǎohē | delicious/good to drink
好吃 hǎochī | delicious/good to eat
好玩 hǎowán | fun
好 hǎo | good
新 xīn | new
小 xiǎo | small
有意思 yǒu yìsi | interesting
老 lǎo | old
美丽 / 漂亮 měilì/piàoliang | beautiful
无聊 wúliáo | boring
便宜 piányi | cheap
聪明 cōngmíng | clever
贵 guì | expensive
胖 pàng | fat
高兴 gāoxìng | happy
悲伤 bēishāng | sad
矮 ǎi | short
高 gāo | tall
瘦 shòu | thin
累 lèi | tired
在 zài | to be in/located in
不 bù/bú | no; not
很 hěn | very
非常 fēicháng | very
跟 gēn | with
也 yě | also
和 hé | and
比较 bǐjiào | quite
但是 dànshì | but
手 shǒu | hand
胳膊 gēbo | arm
耳朵 ěrduo | ear
眼睛 yǎnjīng | eyes
脚 jiǎo | foot
腿 tuǐ | leg
嘴巴 zuǐba | mouth
鼻子 bízi | nose
中国 Zhōngguó | China
北京 Běijīng | Beijing
长城 Cháng Chéng | The Great Wall
汉语 Hànyǔ | Chinese
中文 Zhōngwén | Chinese
美国 Měiguó | America
英国 Yīngguó | Britain
法国 Fǎguó | France
上海 Shànghǎi | Shanghai
英语 Yīngyǔ | English
香港 Xiāng Gǎng | Hong Kong
伦敦 Lúndūn | London
故宫 Gùgōng | The Forbidden City
天安门 Tiānānmén | Tiananmen Square
黄河 Huáng Hé | Yellow River
美国人 Měiguórén | American person
中国人 Zhōngguórén | Chinese person
英国人 Yīngguórén | English person
法国人 Fǎguórén | French person
帽子 màozi | hat
毛衣 máoyī | jumper
夹克 jiákè | jacket
衬衫 chènshān | shirt
鞋子 xiézi | shoes
裙子 qúnzi | skirt
恤衫 tìxùshān | tee shirt
袜子 wàzi | socks
裤子 kùzi | trousers
衣服 yīfu | clothing
黑 hēi | black
蓝 lán | blue
绿 lǜ | green
红 hóng | red
白 bái | white
黄 huáng | yellow
上面 shàngmian | above/on
后面 hòumian | behind
下面 xiàmian | below/under
前面 qiánmian | in front (of)
左边 zuǒbian | left
右边 yòubian | right
牛肉 niúròu | beef
鸡肉 jīròu | chicken meat
汽水 qìshuǐ | fizzy drink
牛奶 niúnǎi | milk
水 shuǐ | water
汉堡包 hànbǎobāo | hamburger
早饭 zǎofàn | breakfast
刀 dāo | knife
面包 miànbāo | bread
鸡蛋 jīdàn | chicken egg
咖啡 kāfēi | coffee
可乐 kělè | Coke
面条 miàntiáo | noodles
(米)饭 (mǐ)fàn | rice
茶 chá | tea
午饭 wǔfàn | lunch
晚饭 wǎnfàn | dinner
薯条 shǔtiáo | chips
巧克力 qiǎokèlì | chocolate
苹果汁 píngguǒzhī | apple juice
橙汁 chéngzhī orange juice
